timestamp,run_name,out_dir,dataset_recipe,avg_loss,ppl,mean_qwen_score,qwen_scored_samples,score_1_count,score_2_count,score_3_count,score_4_count,score_5_count,repetition_failures,truncation_failures,prompt_drift_failures,temperature,top_k,max_new_tokens,prompt_count,prompts_file,samples_file
2026-03-29T14:15:19,e1-tinystories-to-rocstories,out-task2-e1-tinystories-to-rocstories,TinyStories subset -> ROCStories curriculum,3.1810,24.0700,,0,0,0,0,0,0,1,0,0,0.8,200,96,10,/workspace/nano_proj/prompts/task2_eval_prompts.txt,/workspace/nano_proj/out-task2/samples/e1-tinystories-to-rocstories.jsonl
2026-03-29T14:25:35,e1-tinystories-to-rocstories-openai,out-task2-e1-tinystories-to-rocstories,TinyStories subset -> ROCStories curriculum,3.1810,24.0700,2.0000,10,0,10,0,0,0,1,0,0,0.8,200,96,10,/workspace/nano_proj/prompts/task2_eval_prompts.txt,/workspace/nano_proj/out-task2/samples/e1-tinystories-to-rocstories-openai.jsonl
2026-03-29T15:24:22,e2-storyaware-polish-openai,out-task2-e2-storyaware-polish,TinyStories subset -> ROCStories + story-aware ROC polish,3.1760,23.9500,2.0000,10,0,10,0,0,0,2,0,0,0.8,200,96,10,/workspace/nano_proj/prompts/task2_eval_prompts.txt,/workspace/nano_proj/out-task2/samples/e2-storyaware-polish-openai.jsonl
2026-03-29T18:27:38,e3-synth-distill-openai,out-task2-e3-synth-distill,Synthetic ROC-style distillation + ROCStories polish,3.1760,23.9600,2.0000,10,0,10,0,0,0,0,0,0,0.8,200,96,10,/workspace/nano_proj/prompts/task2_eval_prompts.txt,/workspace/nano_proj/out-task2/samples/e3-synth-distill-openai.jsonl
2026-03-30T13:07:00,e4-posteot-mask-openai,out-task2-e4-posteot-mask,ROCStories story-start polish + post-EOT mask,3.1650,23.7000,2.1000,10,0,9,1,0,0,1,0,0,0.8,200,96,10,/workspace/nano_proj/prompts/task2_eval_prompts.txt,/workspace/nano_proj/out-task2/samples/e4-posteot-mask-openai.jsonl
2026-03-30T13:09:21,e4-ending-boost-openai,out-task2-e4-ending-boost,ROCStories continuation weighting + ending boost,3.1720,23.8500,1.9000,10,1,9,0,0,0,2,0,0,0.8,200,96,10,/workspace/nano_proj/prompts/task2_eval_prompts.txt,/workspace/nano_proj/out-task2/samples/e4-ending-boost-openai.jsonl
2026-03-30T13:11:03,e4-recovery-openai,out-task2-e4-recovery,ROCStories continuation weighting + ending boost + short recovery mix,3.1720,23.8600,1.9000,10,1,9,0,0,0,0,0,0,0.8,200,96,10,/workspace/nano_proj/prompts/task2_eval_prompts.txt,/workspace/nano_proj/out-task2/samples/e4-recovery-openai.jsonl
2026-03-30T13:35:23,e5-synth-continuation-weighted-openai,out-task2-e5-synth-continuation-weighted,Synthetic continuation-aware polish,3.7960,44.5100,2.4000,10,0,6,4,0,0,1,1,0,0.8,200,96,10,/workspace/nano_proj/prompts/task2_eval_prompts.txt,/workspace/nano_proj/out-task2/samples/e5-synth-continuation-weighted-openai.jsonl
2026-03-30T13:36:28,e4-continuation-weighted-openai,out-task2-e4-continuation-weighted,ROCStories story-bounded continuation weighting,3.1660,23.7200,2.0000,10,0,10,0,0,0,0,0,0,0.8,200,96,10,/workspace/nano_proj/prompts/task2_eval_prompts.txt,/workspace/nano_proj/out-task2/samples/e4-continuation-weighted-openai.jsonl
2026-03-30T13:53:07,e5-recovery-openai,out-task2-e5-recovery,Synthetic continuation-aware polish + short real ROC recovery,3.2340,25.3900,2.0000,10,0,10,0,0,0,0,0,0,0.8,200,96,10,/workspace/nano_proj/prompts/task2_eval_prompts.txt,/workspace/nano_proj/out-task2/samples/e5-recovery-openai.jsonl
